"","Item","IPIP100","BFAS","HEXACO","QB6","MPQ","IPIPneo","EPQr","PS"
"q_804","Face danger confidently.","NULL","NULL","H:E:F","NULL","NULL","NULL","NULL","NULL"
"q_808","Fear for the worst.","NULL","NULL","NULL","NULL","NULL","N1:ANX","NULL","NULL"
"q_811","Feel a sense of worthlessness or hopelessness.","NULL","NULL","NULL","QB6:ES","NULL","NULL","NULL","NULL"
"q_815","Feel at ease with people.","B5:E","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_816","Feel attacked by others.","NULL","NULL","NULL","NULL","MPQ:AL","NULL","NULL","NULL"
"q_819","Feel comfortable around people.","B5:E","NULL","H:X:SB","NULL","NULL","E1:FR","NULL","NULL"
"q_820","Feel comfortable with myself.","NULL","BFAS:N:W","NULL","NULL","MPQ:SR","N3:DE","NULL","NULL"
"q_824","Feel desperate.","NULL","NULL","NULL","NULL","NULL","N3:DE","NULL","PS:S"
"q_832","Feel healthy and vibrant most of the time.","NULL","NULL","H:X:L","NULL","NULL","NULL","NULL","NULL"
"q_838","Feel little concern for others.","B5:A","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_839","Feel lucky most of the time.","NULL","NULL","NULL","NULL","MPQ:WB","NULL","NULL","NULL"
"q_844","Feel others' emotions.","B5:A","BFAS:A:C","H:E:S","NULL","NULL","O3:EM","NULL","NULL"
"q_848","Feel short-changed in life.","NULL","NULL","NULL","NULL","MPQ:AL","NULL","NULL","NULL"
"q_851","Feel sympathy for those who are worse off than myself.","NULL","NULL","NULL","NULL","NULL","A6:SY","NULL","NULL"
"q_861","Feel that I have a lot of inner strength.","NULL","NULL","H:X:L","NULL","NULL","NULL","NULL","NULL"
"q_867","Feel that I'm unable to deal with things.","NULL","NULL","NULL","NULL","NULL","N6:VU","NULL","NULL"
"q_871","Feel that most people can't be trusted.","NULL","NULL","H:A:FO","NULL","NULL","NULL","NULL","NULL"
"q_875","Feel that my life lacks direction.","NULL","NULL","NULL","NULL","MPQ:WB","N3:DE","NULL","PS:S"
"q_878","Feel that others misunderstand me.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_880","Feel that people are against me.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_882","Feel that people have a hard time understanding me.","NULL","NULL","NULL","NULL","MPQ:AL","NULL","NULL","PS:S"
"q_890","Feel threatened easily.","B5:ES","BFAS:N:W","NULL","NULL","NULL","NULL","NULL","NULL"
"q_898","Find fault with everything.","NULL","NULL","H:A:G","NULL","NULL","NULL","NULL","NULL"
"q_901","Find it difficult to approach others.","B5:E","NULL","H:X:SB","NULL","NULL","N4:SC","NULL","NULL"
"q_904","Find it difficult to get down to work.","B5:C","BFAS:C:I","NULL","NULL","NULL","C5:SD","NULL","NULL"
"q_905","Find it difficult to manipulate others.","NULL","NULL","NULL","NULL","MPQ:SP","NULL","NULL","NULL"
"q_915","Find it hard to forgive others.","NULL","NULL","H:A:FO","NULL","NULL","NULL","NULL","NULL"
"q_917","Find it necessary to please the people who have power.","NULL","NULL","H:H:S","NULL","NULL","NULL","NULL","NULL"
"q_919","Find life difficult.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_920","Find myself in the same kinds of trouble, time after time.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_923","Find political discussions interesting.","NULL","NULL","H:O:I","NULL","NULL","NULL","NULL","NULL"
"q_926","...[T]akes a lot to make me feel angry at someone.","NULL","NULL","H:A:P","NULL","NULL","NULL","NULL","NULL"
"q_930","Finish what I start.","NULL","BFAS:C:I","NULL","NULL","NULL","NULL","NULL","NULL"
"q_931","Follow a schedule.","B5:C","BFAS:C:O","NULL","NULL","NULL","NULL","NULL","NULL"
"q_946","Formulate ideas clearly.","NULL","BFAS:O:I","NULL","NULL","NULL","NULL","NULL","NULL"
"q_952","Get angry easily.","B5:ES","BFAS:N:V","H:A:P","QB6:A","NULL","N2:ANG","NULL","NULL"
"q_957","Get back at others.","NULL","NULL","NULL","NULL","MPQ:AG","A4:CO","NULL","NULL"
"q_958","Get back at people who insult me.","NULL","NULL","H:A:FO","QB6:A","NULL","NULL","NULL","NULL"
"q_960","Get caught up in my problems.","B5:ES","NULL","NULL","NULL","NULL","N1:ANX","NULL","NULL"
"q_962","Get chores done right away.","B5:C","NULL","H:C:O","NULL","NULL","C5:SD","NULL","NULL"
"q_964","Get deeply immersed in music.","NULL","BFAS:O:O","H:O:A","NULL","NULL","NULL","NULL","NULL"
"q_965","Get easily agitated.","NULL","BFAS:N:V","NULL","NULL","NULL","NULL","NULL","NULL"
"q_966","Get even with others.","NULL","NULL","H:A:FO","NULL","NULL","NULL","NULL","NULL"
"q_974","Get irritated easily.","B5:ES","NULL","H:A:P","NULL","NULL","N2:ANG","NULL","NULL"
"q_977","Get others to do my duties.","NULL","NULL","NULL","NULL","NULL","C3:DU","NULL","NULL"
"q_978","Get out of control.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_979","Get overwhelmed by emotions.","B5:ES","NULL","NULL","NULL","NULL","N6:VU","NULL","NULL"
"q_985","Get started quickly on doing a job.","NULL","NULL","H:C:D","NULL","NULL","NULL","NULL","NULL"
"q_986","Get stressed out easily.","B5:ES","NULL","H:E:A","NULL","MPQ:SR","N1:ANX","NULL","NULL"
"q_988","Get things done quickly.","NULL","BFAS:C:I","NULL","NULL","NULL","NULL","NULL","NULL"
"q_992","Get to work at once.","NULL","NULL","NULL","NULL","NULL","C5:SD","NULL","NULL"
"q_994","Get upset by unpleasant thoughts that come into my mind.","NULL","NULL","H:E:A","NULL","NULL","NULL","NULL","NULL"
"q_995","Get upset easily.","B5:ES","BFAS:N:V","H:A:P","NULL","NULL","N2:ANG","NULL","NULL"
"q_997","[Get upset if others change way I arranged things].","NULL","NULL","H:A:FL","NULL","NULL","NULL","NULL","NULL"
"q_1009","Go on binges.","NULL","NULL","NULL","NULL","NULL","N5:IM","NULL","NULL"
"q_1012","Go straight for the goal.","NULL","NULL","NULL","NULL","NULL","C4:AS","NULL","NULL"
"q_1020","Grumble about things.","B5:ES","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_1022","Habitually blow my chances.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_1023","Handle tasks smoothly.","NULL","NULL","NULL","NULL","NULL","C1:SE","NULL","NULL"
"q_1024","Hang around doing nothing.","NULL","NULL","H:C:D","NULL","NULL","NULL","NULL","NULL"
"q_1027","Hate being the center of attention.","NULL","NULL","H:X:SB","NULL","NULL","NULL","NULL","NULL"
"q_1031","Hate to seem pushy.","NULL","BFAS:A:P","NULL","NULL","NULL","A4:CO","NULL","NULL"
"q_1033","Hate waiting for anything.","NULL","NULL","NULL","QB6:A","NULL","NULL","NULL","NULL"
"q_1038","Have a dark outlook on the future.","NULL","NULL","NULL","NULL","MPQ:WB","NULL","NULL","PS:S"
"q_1041","Have a good word for everyone.","B5:A","NULL","H:A:G","NULL","NULL","A3:AL","NULL","NULL"
"q_1042","Have a high opinion of myself.","NULL","NULL","NULL","NULL","NULL","A5:MO","NULL","NULL"
"q_1043","Have a lot of fun.","NULL","BFAS:E:E","H:X:L","NULL","MPQ:WB","E6:CH","NULL","NULL"
"q_1044","Have a low opinion of myself.","NULL","NULL","NULL","NULL","MPQ:WB","N3:DE","NULL","NULL"
"q_1045","Have a natural talent for influencing people.","NULL","NULL","NULL","NULL","MPQ:SP","NULL","NULL","PS:P"
"q_1050","Have a rich vocabulary.","B5:O","BFAS:O:I","H:O:I","QB6:O","NULL","O5:IN","NULL","NULL"
"q_1051","Have a sharp tongue.","NULL","NULL","H:A:G","NULL","MPQ:AG","A4:CO","NULL","NULL"
"q_1052","Have a slow pace to my life.","NULL","NULL","NULL","NULL","MPQ:AC","NULL","NULL","NULL"
"q_1053","Have a soft heart.","B5:A","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1054","Have a strong need for power.","NULL","NULL","H:H:GA","NULL","NULL","NULL","NULL","NULL"
"q_1055","Have a strong personality.","NULL","BFAS:E:A","H:X:SB","NULL","NULL","NULL","NULL","PS:P"
"q_1058","Have a vivid imagination.","B5:O","NULL","H:O:C","NULL","MPQ:AB","O1:IM","NULL","NULL"
"q_1063","Have an eye for detail.","NULL","NULL","H:C:PE","NULL","NULL","NULL","NULL","NULL"
"q_1064","Have an intense, boisterous laugh.","NULL","NULL","H:X:E","NULL","NULL","NULL","NULL","NULL"
"q_1081","Have difficulty expressing my feelings.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:P"
"q_1083","Have difficulty imagining things.","B5:O","NULL","H:O:C","NULL","NULL","O1:IM","NULL","NULL"
"q_1087","Have difficulty starting tasks.","NULL","NULL","NULL","NULL","NULL","C5:SD","NULL","NULL"
"q_1088","Have difficulty understanding abstract ideas.","B5:O","BFAS:O:I","NULL","QB6:O","NULL","O5:IN","NULL","NULL"
"q_1090","Have excellent ideas.","B5:O","NULL","H:O:C","NULL","NULL","NULL","NULL","NULL"
"q_1099","Have frequent mood swings.","B5:ES","NULL","NULL","NULL","MPQ:SR","N3:DE","NULL","NULL"
"q_1104","Have great stamina.","NULL","NULL","H:X:L","NULL","NULL","NULL","NULL","NULL"
"q_1110","Have leadership abilities.","NULL","NULL","H:X:SB","NULL","NULL","NULL","NULL","PS:P"
"q_1113","Have little to contribute.","NULL","NULL","NULL","NULL","NULL","C1:SE","NULL","NULL"
"q_1114","Have little to say.","B5:E","NULL","H:X:SB","NULL","MPQ:SP","E3:AS","NULL","PS:P"
"q_1120","Have never engaged in gossip.","NULL","NULL","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
"q_1132","Have read the great literary classics.","NULL","NULL","H:O:A","NULL","NULL","NULL","NULL","NULL"
"q_1136","Have some bad habits.","NULL","NULL","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
"q_1138","Have sometimes had to tell a lie.","NULL","NULL","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
"q_1146","Have trouble guessing how others will react.","NULL","NULL","H:O:C","NULL","NULL","NULL","NULL","NULL"
"q_1150","Hold a grudge.","NULL","NULL","H:A:FO","NULL","MPQ:AG","A4:CO","NULL","NULL"
"q_1151","Hold back my opinions.","NULL","BFAS:E:A","NULL","NULL","NULL","E3:AS","NULL","NULL"
"q_1159","Immediately feel sad when hearing of an unhappy event.","NULL","NULL","H:E:S","NULL","NULL","NULL","NULL","NULL"
"q_1161","Indulge in my fantasies.","NULL","NULL","NULL","NULL","NULL","O1:IM","NULL","NULL"
"q_1162","Inquire about others' well-being.","B5:A","BFAS:A:C","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1163","Insult people.","B5:A","BFAS:A:P","NULL","NULL","NULL","A4:CO","NULL","NULL"
"q_1169","Involve others in what I am doing.","NULL","NULL","NULL","NULL","NULL","E2:GR","NULL","NULL"
"q_1173","Jump into things without thinking.","NULL","NULL","H:C:PR","NULL","MPQ:CO","C6:CA","NULL","NULL"
"q_1175","Just know that I will be a success.","NULL","NULL","NULL","NULL","MPQ:WB","NULL","NULL","NULL"
"q_1180","Keep in the background.","B5:E","NULL","H:X:SB","NULL","MPQ:SP","E3:AS","NULL","NULL"
"q_1184","Keep my cool.","NULL","NULL","NULL","NULL","NULL","N2:ANG","NULL","NULL"
"q_1185","Keep my emotions under control.","NULL","BFAS:N:V","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1190","Keep my promises.","NULL","NULL","NULL","NULL","NULL","C3:DU","NULL","NULL"
"q_1196","Keep others at a distance.","NULL","BFAS:E:E","H:X:S","NULL","MPQ:SC","E1:FR","NULL","NULL"
"q_1201","Keep things tidy.","NULL","BFAS:C:O","H:C:O","NULL","NULL","NULL","NULL","NULL"
"q_1205","Know how to captivate people.","B5:E","BFAS:E:A","NULL","NULL","NULL","NULL","NULL","PS:P"
"q_1206","Know how to comfort others.","B5:A","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1209","Know how to cope.","NULL","NULL","NULL","NULL","NULL","N6:VU","NULL","NULL"
"q_1214","Know how to get around the rules.","NULL","NULL","NULL","NULL","NULL","A2:MO","NULL","NULL"
"q_1215","Know how to get things done.","NULL","NULL","NULL","NULL","NULL","C1:SE","NULL","NULL"
"q_1218","Know immediately what to do.","NULL","NULL","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
"q_1223","Know that anyone who tries can get a job.","NULL","NULL","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
"q_1232","Know that my ideas sometimes surprise people.","NULL","NULL","H:O:U","NULL","NULL","NULL","NULL","NULL"
"q_1235","Know the answers to many questions.","NULL","NULL","NULL","NULL","NULL","A5:MO","NULL","NULL"
"q_1242","Lack the talent for influencing people.","NULL","BFAS:E:A","NULL","NULL","MPQ:SP","NULL","NULL","NULL"
"q_1243","Laugh a lot.","NULL","BFAS:E:E","H:X:L","QB6:X","NULL","NULL","NULL","NULL"
"q_1244","Laugh aloud.","NULL","NULL","NULL","NULL","NULL","E6:CH","NULL","NULL"
"q_1248","Laugh my way through life.","NULL","NULL","NULL","NULL","NULL","E6:CH","NULL","NULL"
"q_1253","Learn things slowly.","NULL","BFAS:O:I","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1254","Leave a mess in my room.","B5:C","NULL","H:C:O","QB6:C","NULL","C2:OR","NULL","NULL"
"q_1255","Leave my belongings around.","B5:C","BFAS:C:O","H:C:O","NULL","NULL","C2:OR","NULL","NULL"
"q_1260","Let myself be influenced by others.","NULL","NULL","H:E:D","NULL","NULL","NULL","NULL","NULL"
"q_1276","Let people push me around to help them feel important.","NULL","NULL","H:H:S","NULL","NULL","NULL","NULL","NULL"
"q_1280","Let things proceed at their own pace.","NULL","NULL","NULL","NULL","NULL","E4:AL","NULL","NULL"
"q_1281","Like a leisurely lifestyle.","NULL","NULL","NULL","NULL","NULL","E4:AL","NULL","NULL"
"q_1289","Like music.","NULL","NULL","NULL","NULL","NULL","O2:AI","NULL","NULL"
"q_1290","Like order.","B5:C","BFAS:C:O","H:C:O","QB6:C","NULL","C2:OR","NULL","NULL"
"q_1292","Like to act on a whim.","NULL","NULL","NULL","NULL","MPQ:CO","C6:CA","NULL","NULL"
"q_1296","Like to attract attention.","NULL","NULL","H:H:M","NULL","NULL","NULL","NULL","NULL"
"q_1300","Like to be thought of as a normal kind of person.","NULL","NULL","H:O:U","NULL","NULL","NULL","NULL","NULL"
"q_1301","Like to be viewed as proper and conventional.","NULL","NULL","H:O:U","NULL","NULL","NULL","NULL","NULL"
"q_1303","Like to begin new things.","NULL","NULL","NULL","NULL","NULL","O4:AD","NULL","NULL"
"q_1306","Like to do frightening things.","NULL","NULL","H:E:F","QB6:H","NULL","NULL","NULL","NULL"
"q_1307","Like to do things for others.","NULL","BFAS:A:C","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1310","Like to get lost in thought.","NULL","NULL","NULL","NULL","MPQ:AB","O1:IM","NULL","NULL"
"q_1321","Like to plan ahead.","NULL","NULL","NULL","QB6:C","MPQ:CO","NULL","NULL","NULL"
"q_1327","Like to solve complex problems.","NULL","BFAS:O:I","NULL","NULL","NULL","O5:IN","NULL","NULL"
"q_1328","Like to stand during the national anthem.","NULL","NULL","NULL","NULL","MPQ:TR","O6:LI","NULL","NULL"
"q_1329","Like to take it easy.","NULL","NULL","NULL","NULL","NULL","E4:AL","NULL","NULL"
"q_1330","Like to take my time.","NULL","NULL","NULL","NULL","NULL","E4:AL","NULL","NULL"
"q_1333","Like to tidy up.","B5:C","NULL","H:C:O","NULL","NULL","C2:OR","NULL","NULL"
"q_1334","Like to visit new places.","NULL","NULL","NULL","NULL","NULL","O4:AD","NULL","NULL"
"q_1341","Listen to my conscience.","NULL","NULL","NULL","NULL","NULL","C3:DU","NULL","NULL"
"q_1350","Look at the bright side of life.","NULL","NULL","NULL","NULL","NULL","E6:CH","NULL","NULL"
"q_1354","Look down on others.","NULL","NULL","NULL","NULL","NULL","A3:AL","NULL","NULL"
"q_1357","Lose my temper.","NULL","NULL","H:A:P","NULL","NULL","N2:ANG","NULL","NULL"
"q_1359","Love a good fight.","NULL","BFAS:A:P","NULL","NULL","NULL","A4:CO","NULL","NULL"
"q_1360","Love action.","NULL","NULL","NULL","NULL","NULL","E5:ES","NULL","NULL"
"q_1364","Love children.","B5:A","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1367","Love dangerous situations.","NULL","NULL","H:E:F","NULL","NULL","NULL","NULL","NULL"
"q_1368","Love excitement.","NULL","NULL","NULL","NULL","NULL","E5:ES","NULL","NULL"
"q_1369","Love flowers.","NULL","NULL","NULL","NULL","NULL","O2:AI","NULL","NULL"
"q_1370","Love large parties.","NULL","NULL","NULL","NULL","NULL","E2:GR","NULL","NULL"
"q_1371","Love life.","NULL","NULL","NULL","NULL","MPQ:WB","E6:CH","NULL","NULL"
"q_1372","Love luxury.","NULL","NULL","H:H:GA","NULL","NULL","NULL","NULL","NULL"
"q_1373","Love my enemies.","NULL","NULL","H:A:FO","NULL","NULL","NULL","NULL","NULL"
"q_1374","Love order and regularity.","B5:C","NULL","NULL","NULL","NULL","C2:OR","NULL","NULL"
"q_1376","Love surprise parties.","NULL","NULL","NULL","NULL","NULL","E2:GR","NULL","NULL"
"q_1379","Love to chat.","NULL","NULL","H:X:S","NULL","MPQ:SC","NULL","NULL","NULL"
"q_1381","Love to daydream.","NULL","NULL","NULL","NULL","MPQ:AB","O1:IM","NULL","NULL"
"q_1384","Love to eat.","NULL","NULL","NULL","NULL","NULL","N5:IM","NULL","NULL"
"q_1385","Love to help others.","B5:A","NULL","NULL","NULL","NULL","A3:AL","NULL","NULL"
"q_1388","Love to read challenging material.","B5:O","NULL","H:O:I","NULL","NULL","O5:IN","NULL","NULL"
"q_1389","Love to reflect on things.","NULL","BFAS:O:O","NULL","NULL","MPQ:AB","NULL","NULL","NULL"
"q_1392","Love to think up new ways of doing things.","B5:O","NULL","H:O:C","NULL","NULL","NULL","NULL","NULL"
"q_1393","Maintain high energy throughout the day.","NULL","NULL","H:X:L","NULL","NULL","NULL","NULL","NULL"
"q_1395","Make a fool of myself.","NULL","NULL","H:C:PR","NULL","NULL","NULL","NULL","NULL"
"q_1397","Make a mess of things.","B5:C","NULL","NULL","NULL","MPQ:CO","NULL","NULL","NULL"
"q_1401","Make careless mistakes.","NULL","NULL","H:C:PR","NULL","NULL","NULL","NULL","NULL"
"q_1410","Make friends easily.","B5:E","BFAS:E:E","H:X:S","NULL","MPQ:SC","E1:FR","NULL","NULL"
"q_1416","Make myself the center of attention.","NULL","NULL","NULL","NULL","NULL","A5:MO","NULL","NULL"
"q_1419","Make people feel at ease.","B5:A","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1420","Make people feel uncomfortable.","NULL","NULL","NULL","NULL","NULL","A3:AL","NULL","NULL"
"q_1421","Make people feel welcome.","NULL","NULL","NULL","NULL","NULL","A3:AL","NULL","NULL"
"q_1422","Make plans and stick to them.","B5:C","NULL","H:C:PR","NULL","MPQ:CO","NULL","NULL","NULL"
"q_1424","Make rash decisions.","NULL","NULL","H:C:PR","NULL","MPQ:CO","C6:CA","NULL","NULL"
"q_1429","Mess things up.","NULL","BFAS:C:I","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1435","Misjudge situations.","NULL","NULL","NULL","NULL","NULL","C1:SE","NULL","NULL"
"q_1436","Misrepresent the facts.","NULL","NULL","NULL","NULL","NULL","C3:DU","NULL","NULL"
"q_1441","Need a creative outlet.","NULL","BFAS:O:O","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1444","Need a push to get started.","NULL","NULL","NULL","NULL","NULL","C5:SD","NULL","NULL"
"q_1446","Need protection.","NULL","NULL","H:E:D","NULL","NULL","NULL","NULL","NULL"
"q_1447","Need reassurance.","NULL","NULL","H:E:D","NULL","NULL","NULL","NULL","NULL"
"q_1448","Need the approval of others.","NULL","NULL","H:E:D","NULL","NULL","NULL","NULL","NULL"
"q_1452","Neglect my duties.","B5:C","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1457","Never give up hope.","NULL","NULL","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
"q_1458","Never give up.","NULL","NULL","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
"q_1461","Never spend more than I can afford.","NULL","NULL","NULL","NULL","NULL","N5:IM","NULL","NULL"
"q_1462","Never splurge.","NULL","NULL","NULL","NULL","NULL","N5:IM","NULL","NULL"
"q_1467","Obstruct others' plans.","NULL","NULL","NULL","NULL","NULL","A2:MO","NULL","NULL"
"q_1474","Often eat too much.","NULL","NULL","NULL","NULL","NULL","N5:IM","NULL","NULL"
"q_1477","Often express doubts.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_1479","Often feel blue.","B5:ES","NULL","H:X:L","NULL","MPQ:WB","N3:DE","NULL","NULL"
"q_1480","Often feel uncomfortable around others.","B5:E","NULL","NULL","NULL","NULL","E1:FR","NULL","NULL"
"q_1483","[Forget to put things back].","B5:C","NULL","H:C:O","NULL","NULL","C2:OR","NULL","NULL"
"q_1488","Often make last-minute plans.","NULL","NULL","NULL","NULL","MPQ:CO","C6:CA","NULL","NULL"
"q_1490","Often need help.","NULL","NULL","H:E:D","NULL","NULL","NULL","NULL","NULL"
"q_1495","[Often worry things unimportant].","NULL","NULL","H:E:A","NULL","NULL","NULL","NULL","NULL"
"q_1496","Only feel comfortable with friends.","NULL","NULL","NULL","NULL","NULL","N4:SC","NULL","NULL"
"q_1505","Panic easily.","B5:ES","NULL","H:E:A","QB6:ES","MPQ:SR","N6:VU","NULL","NULL"
"q_1507","Pay attention to details.","B5:C","NULL","H:C:PE","NULL","MPQ:CO","NULL","NULL","NULL"
"q_1508","Pay my bills on time.","NULL","NULL","NULL","NULL","NULL","C3:DU","NULL","NULL"
"q_1511","Pay too little attention to details.","NULL","NULL","H:C:PE","QB6:C","NULL","NULL","NULL","NULL"
"q_1517","Play a role in order to impress people.","NULL","NULL","H:H:S","NULL","NULL","NULL","NULL","NULL"
"q_1519","Plunge into tasks with all my heart.","NULL","NULL","NULL","NULL","MPQ:AC","C4:AS","NULL","NULL"
"q_1521","Postpone decisions.","NULL","BFAS:C:I","NULL","NULL","NULL","C5:SD","NULL","NULL"
"q_1531","Prefer to be alone.","NULL","NULL","NULL","NULL","NULL","E2:GR","NULL","NULL"
"q_1536","Prefer to eat at expensive restaurants.","NULL","NULL","H:H:GA","NULL","NULL","NULL","NULL","NULL"
"q_1537","Prefer to just let things happen.","NULL","NULL","H:C:PE","NULL","NULL","NULL","NULL","NULL"
"q_1540","Prefer to stick with things that I know.","NULL","NULL","NULL","NULL","NULL","O4:AD","NULL","NULL"
"q_1542","Prefer variety to routine.","NULL","NULL","NULL","NULL","NULL","O4:AD","NULL","NULL"
"q_1543","Pretend to be concerned for others.","NULL","NULL","H:H:S","NULL","NULL","A2:MO","NULL","NULL"
"q_1550","Push myself very hard to succeed.","NULL","NULL","H:C:D","NULL","NULL","NULL","NULL","NULL"
"q_1553","Put little time and effort into my work.","NULL","NULL","NULL","NULL","NULL","C4:AS","NULL","NULL"
"q_1555","Put on a show to impress people.","NULL","NULL","H:H:S","NULL","NULL","NULL","NULL","NULL"
"q_1556","Rarely put people under pressure.","NULL","BFAS:A:P","NULL","NULL","NULL","A2:MO","NULL","NULL"
"q_1563","Quickly lose interest in the tasks I start.","NULL","NULL","H:C:D","NULL","NULL","NULL","NULL","NULL"
"q_1567","Radiate joy.","NULL","NULL","NULL","NULL","MPQ:WB","E6:CH","NULL","NULL"
"q_1571","Rarely complain.","NULL","NULL","H:A:G","NULL","MPQ:AG","N2:ANG","NULL","NULL"
"q_1573","Rarely cry during sad movies.","NULL","NULL","H:E:S","NULL","NULL","NULL","NULL","NULL"
"q_1575","Rarely enjoy being with people.","NULL","NULL","H:X:S","NULL","NULL","NULL","NULL","NULL"
"q_1577","Rarely feel angry with people.","NULL","NULL","H:A:P","NULL","NULL","NULL","NULL","NULL"
"q_1578","Rarely feel depressed.","NULL","BFAS:N:W","H:E:A","NULL","NULL","NULL","NULL","NULL"
"q_1583","Rarely get caught up in the excitement.","NULL","BFAS:E:E","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1585","Rarely get irritated.","B5:ES","BFAS:N:V","H:A:P","NULL","MPQ:AG","N2:ANG","NULL","NULL"
"q_1587","Rarely look for a deeper meaning in things.","NULL","NULL","NULL","NULL","MPQ:AB","NULL","NULL","NULL"
"q_1588","Rarely lose my composure.","NULL","BFAS:N:V","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1589","Rarely notice my emotional reactions.","NULL","NULL","NULL","NULL","NULL","O3:EM","NULL","NULL"
"q_1590","Rarely overindulge.","NULL","NULL","NULL","NULL","NULL","N5:IM","NULL","NULL"
"q_1591","Rarely show my anger.","NULL","NULL","NULL","QB6:A","NULL","NULL","NULL","NULL"
"q_1596","Rarely worry.","NULL","NULL","H:E:A","QB6:ES","NULL","NULL","NULL","NULL"
"q_1599","React quickly.","NULL","NULL","NULL","NULL","NULL","E4:AL","NULL","NULL"
"q_1600","React slowly.","NULL","NULL","NULL","NULL","NULL","E4:AL","NULL","NULL"
"q_1601","React strongly to criticism.","NULL","NULL","H:A:FL","NULL","NULL","NULL","NULL","NULL"
"q_1606","Readily overcome setbacks.","NULL","NULL","NULL","NULL","NULL","N6:VU","NULL","NULL"
