"","Item","IPIP100","BFAS","HEXACO","QB6","MPQ","IPIPneo","EPQr","PS"
"q_1609","Rebel against authority.","NULL","NULL","H:O:U","NULL","NULL","NULL","NULL","NULL"
"q_1610","Recover quickly from stress and illness.","NULL","NULL","NULL","QB6:ES","NULL","NULL","NULL","NULL"
"q_1616","Remain calm under pressure.","NULL","NULL","H:E:A","NULL","NULL","N6:VU","NULL","NULL"
"q_1624","Respect authority.","NULL","BFAS:A:P","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1633","Return extra change when a cashier makes a mistake.","NULL","NULL","H:H:F","NULL","NULL","NULL","NULL","NULL"
"q_1635","Reveal little about myself.","NULL","BFAS:E:E","NULL","QB6:X","NULL","NULL","NULL","NULL"
"q_1638","Rush into things.","NULL","NULL","NULL","NULL","NULL","C6:CA","NULL","NULL"
"q_1643","Say little.","NULL","NULL","H:X:E","NULL","NULL","NULL","NULL","NULL"
"q_1648","See beauty in things that others might not notice.","NULL","BFAS:O:O","H:O:A","NULL","MPQ:AB","O2:AI","NULL","NULL"
"q_1652","See myself as a good leader.","NULL","BFAS:E:A","NULL","NULL","MPQ:SP","NULL","NULL","NULL"
"q_1653","See myself as an average person.","NULL","NULL","H:H:M","NULL","NULL","NULL","NULL","NULL"
"q_1657","See that rules are observed.","NULL","BFAS:C:O","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1662","Seek adventure.","NULL","NULL","NULL","NULL","MPQ:HA","E5:ES","NULL","NULL"
"q_1663","Seek conflict.","NULL","BFAS:A:P","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1664","Seek danger.","NULL","NULL","NULL","NULL","MPQ:HA","E5:ES","NULL","NULL"
"q_1666","Seek quiet.","NULL","NULL","NULL","NULL","NULL","E2:GR","NULL","NULL"
"q_1667","Seek status.","NULL","NULL","H:H:GA","NULL","NULL","NULL","NULL","NULL"
"q_1668","Seek support.","NULL","NULL","H:E:D","NULL","NULL","NULL","NULL","NULL"
"q_1670","Seek to influence others.","NULL","NULL","NULL","NULL","NULL","E3:AS","NULL","NULL"
"q_1671","[Enjoy interactions less than others].","NULL","NULL","H:X:S","NULL","NULL","NULL","NULL","NULL"
"q_1675","Seldom daydream.","NULL","BFAS:O:O","NULL","NULL","NULL","O1:IM","NULL","NULL"
"q_1676","Seldom experience sudden intuitive insights.","NULL","NULL","H:O:C","QB6:O","NULL","NULL","NULL","NULL"
"q_1677","Seldom feel blue.","B5:ES","BFAS:N:W","NULL","NULL","MPQ:SR","N3:DE","NULL","NULL"
"q_1679","Seldom feel weepy while reading [sad story].","NULL","NULL","H:E:S","NULL","NULL","NULL","NULL","NULL"
"q_1681","Seldom get emotional.","NULL","NULL","H:E:S","NULL","NULL","O3:EM","NULL","NULL"
"q_1682","Seldom get lost in thought.","NULL","BFAS:O:O","NULL","NULL","MPQ:AB","O1:IM","NULL","NULL"
"q_1683","Seldom get mad.","B5:ES","NULL","H:A:P","NULL","MPQ:AG","N2:ANG","NULL","NULL"
"q_1685","Seldom joke around.","NULL","NULL","NULL","QB6:X","NULL","E6:CH","NULL","NULL"
"q_1687","Seldom notice emotional aspects of [visual art].","NULL","BFAS:O:O","H:O:A","NULL","NULL","NULL","NULL","NULL"
"q_1691","Seldom toot my own horn.","NULL","NULL","NULL","NULL","NULL","A5:MO","NULL","NULL"
"q_1694","Set high standards for myself and others.","NULL","NULL","NULL","NULL","NULL","C4:AS","NULL","NULL"
"q_1696","Shirk my duties.","B5:C","NULL","NULL","QB6:C","NULL","NULL","NULL","NULL"
"q_1697","Shoot my mouth off.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_1703","Show my feelings when I'm happy.","NULL","BFAS:E:E","NULL","QB6:X","NULL","NULL","NULL","NULL"
"q_1705","Show my gratitude.","B5:A","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1706","Show my sadness.","NULL","NULL","H:E:D","NULL","NULL","NULL","NULL","NULL"
"q_1709","Smile a lot.","NULL","NULL","H:X:L","NULL","NULL","NULL","NULL","NULL"
"q_1725","Speak ill of others.","NULL","NULL","H:A:G","NULL","NULL","NULL","NULL","NULL"
"q_1730","Speak softly.","NULL","NULL","H:X:E","NULL","NULL","NULL","NULL","NULL"
"q_1738","Spend time reflecting on things.","B5:O","NULL","NULL","NULL","NULL","O1:IM","NULL","NULL"
"q_1742","Start conversations.","B5:E","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1744","Start tasks right away.","NULL","NULL","NULL","NULL","NULL","C5:SD","NULL","NULL"
"q_1747","Steal things.","NULL","NULL","H:H:F","QB6:H","NULL","NULL","NULL","NULL"
"q_1748","Stick to my chosen path.","NULL","NULL","NULL","NULL","NULL","C6:CA","NULL","NULL"
"q_1752","Stick to the rules.","NULL","NULL","NULL","QB6:H","NULL","A2:MO","NULL","NULL"
"q_1754","Stop when work becomes too difficult.","NULL","NULL","H:C:D","NULL","NULL","NULL","NULL","NULL"
"q_1755","Stumble over my words.","NULL","NULL","NULL","NULL","NULL","N4:SC","NULL","NULL"
"q_1757","Suffer from others' sorrows.","NULL","NULL","NULL","NULL","NULL","A6:SY","NULL","NULL"
"q_1758","Suspect hidden motives in others.","NULL","NULL","NULL","NULL","MPQ:AL","A1:TR","NULL","NULL"
"q_1759","[Suspect facial expressions show when sad].","NULL","NULL","H:E:D","NULL","NULL","NULL","NULL","NULL"
"q_1761","Swim against the current.","NULL","NULL","H:O:U","NULL","NULL","NULL","NULL","NULL"
"q_1762","Switch my loyalties when I feel like it.","NULL","NULL","H:H:S","NULL","NULL","NULL","NULL","NULL"
"q_1763","Sympathize with others' feelings.","B5:A","BFAS:A:C","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1764","Sympathize with the homeless.","NULL","NULL","NULL","NULL","NULL","A6:SY","NULL","NULL"
"q_1765","Take advantage of others.","NULL","BFAS:A:P","NULL","NULL","NULL","A2:MO","NULL","NULL"
"q_1766","Take an interest in other people's lives.","NULL","BFAS:A:C","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1768","Take charge.","B5:E","BFAS:E:A","NULL","NULL","MPQ:SP","E3:AS","NULL","NULL"
"q_1769","Take control of things.","NULL","NULL","NULL","NULL","NULL","E3:AS","NULL","NULL"
"q_1774","Take no time for others.","NULL","BFAS:A:C","NULL","NULL","NULL","A3:AL","NULL","NULL"
"q_1775","Take offense easily.","B5:ES","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1780","Take risks that could cause trouble for me.","NULL","NULL","NULL","QB6:H","NULL","NULL","NULL","NULL"
"q_1781","Take risks.","NULL","NULL","NULL","NULL","MPQ:HA","NULL","NULL","NULL"
"q_1787","Take things as they come.","NULL","NULL","H:A:G","NULL","NULL","NULL","NULL","NULL"
"q_1792","Take time out for others.","B5:A","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1795","Talk a lot.","NULL","NULL","H:X:E","NULL","NULL","NULL","NULL","NULL"
"q_1798","Talk even when I know I shouldnt.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_1803","Talk to a lot of different people at parties.","B5:E","NULL","H:X:S","QB6:X","NULL","E2:GR","NULL","NULL"
"q_1808","[Tell people...want to hear so they do what I want].","NULL","NULL","H:H:S","NULL","NULL","NULL","NULL","NULL"
"q_1810","Tell people about it when I'm irritated.","NULL","NULL","H:X:E","NULL","NULL","NULL","NULL","NULL"
"q_1812","Tell the truth.","NULL","NULL","NULL","NULL","NULL","C3:DU","NULL","NULL"
"q_1818","Tend to dislike soft-hearted people.","NULL","NULL","NULL","NULL","NULL","A6:SY","NULL","NULL"
"q_1824","Tend to vote for conservative political candidates.","NULL","NULL","NULL","NULL","MPQ:TR","O6:LI","NULL","NULL"
"q_1825","Tend to vote for liberal political candidates.","NULL","NULL","NULL","NULL","MPQ:TR","O6:LI","NULL","NULL"
"q_1830","Think highly of myself.","NULL","NULL","NULL","NULL","NULL","A5:MO","NULL","NULL"
"q_1832","Think of others first.","B5:A","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1834","Think quickly.","NULL","BFAS:O:I","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1835","Think that all will be well.","NULL","NULL","NULL","NULL","NULL","A1:TR","NULL","NULL"
"q_1840","Think that my moods dont change more than most peoples do.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_1848","Tire out quickly.","NULL","NULL","H:X:L","NULL","NULL","NULL","NULL","NULL"
"q_1853","Tremble in dangerous situations.","NULL","NULL","H:E:F","NULL","NULL","NULL","NULL","NULL"
"q_1854","Trust others.","NULL","NULL","NULL","NULL","MPQ:AL","A1:TR","NULL","NULL"
"q_1855","Trust what people say.","NULL","NULL","NULL","NULL","MPQ:AL","A1:TR","NULL","NULL"
"q_1858","Try not to think about the needy.","NULL","NULL","NULL","NULL","NULL","A6:SY","NULL","NULL"
"q_1861","Try to avoid complex people.","B5:O","NULL","H:O:U","NULL","NULL","NULL","NULL","NULL"
"q_1867","Try to follow the rules.","NULL","NULL","H:H:F","NULL","NULL","C3:DU","NULL","PS:S"
"q_1869","Try to forgive and forget.","NULL","NULL","H:A:FO","NULL","MPQ:AG","NULL","NULL","NULL"
"q_1871","Try to impress others.","NULL","NULL","H:H:GA","NULL","NULL","NULL","NULL","NULL"
"q_1872","Try to lead others.","NULL","NULL","NULL","NULL","NULL","E3:AS","NULL","NULL"
"q_1880","Try to understand myself.","NULL","NULL","NULL","NULL","NULL","O3:EM","NULL","NULL"
"q_1881","Turn my back on others.","NULL","NULL","NULL","NULL","NULL","A3:AL","NULL","NULL"
"q_1883","Turn plans into actions.","NULL","NULL","NULL","NULL","NULL","C4:AS","NULL","NULL"
"q_1893","Use difficult words.","B5:O","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_1894","Use flattery to get ahead.","NULL","NULL","H:H:S","NULL","NULL","A2:MO","NULL","NULL"
"q_1896","Use others for my own ends.","NULL","NULL","NULL","QB6:H","NULL","A2:MO","NULL","NULL"
"q_1899","Usually enjoy being with people.","NULL","NULL","NULL","QB6:X","NULL","NULL","NULL","NULL"
"q_1904","Usually like to spend my free time with people.","NULL","NULL","H:X:S","NULL","NULL","NULL","NULL","NULL"
"q_1910","Value cooperation over competition.","NULL","NULL","NULL","NULL","NULL","A6:SY","NULL","NULL"
"q_1913","Wait for others to lead the way.","B5:E","BFAS:E:A","NULL","NULL","NULL","E3:AS","NULL","NULL"
"q_1915","Want every detail taken care of.","NULL","BFAS:C:O","H:C:PE","NULL","NULL","NULL","NULL","NULL"
"q_1916","Want everything to add up perfectly.","NULL","NULL","H:C:PE","NULL","NULL","NULL","NULL","NULL"
"q_1917","Want everything to be ""just right.""","NULL","BFAS:C:O","H:C:O","NULL","NULL","C2:OR","NULL","NULL"
"q_1923","Want to be left alone.","NULL","NULL","NULL","NULL","MPQ:SC","E2:GR","NULL","NULL"
"q_1924","Want to be liked.","NULL","NULL","H:E:D","NULL","NULL","NULL","NULL","NULL"
"q_1943","Warm up quickly to others.","NULL","BFAS:E:E","NULL","NULL","MPQ:SC","E1:FR","NULL","NULL"
"q_1949","Waste my time.","B5:C","BFAS:C:I","NULL","QB6:C","NULL","C5:SD","NULL","NULL"
"q_1957","[Often bothered by at least one in group interactions].","NULL","NULL","H:A:FL","NULL","NULL","NULL","NULL","NULL"
"q_1962","Will do anything for others.","NULL","NULL","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
"q_1964","Will not probe deeply into a subject.","B5:O","NULL","H:O:I","NULL","NULL","NULL","NULL","NULL"
"q_1969","Wish to stay young forever.","NULL","NULL","H:H:GA","NULL","NULL","NULL","NULL","NULL"
"q_1979","Work hard.","NULL","NULL","H:C:D","NULL","MPQ:AC","C4:AS","NULL","NULL"
"q_1984","Work too much.","NULL","NULL","NULL","NULL","MPQ:AC","NULL","NULL","NULL"
"q_1989","Worry about things.","B5:ES","BFAS:N:W","H:E:A","NULL","MPQ:SR","N1:ANX","NULL","NULL"
"q_1992","Would be afraid to give a speech in public.","NULL","NULL","H:X:SB","NULL","NULL","NULL","NULL","NULL"
"q_1993","[Good at rescuing from burning building].","NULL","NULL","H:E:F","NULL","NULL","NULL","NULL","NULL"
"q_1998","Would describe my experiences as somewhat dull.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:P"
"q_2001","Would fear walking in a high-crime part of a city.","NULL","NULL","H:E:F","NULL","NULL","NULL","NULL","NULL"
"q_2003","[Would feel v. badly for a long time if stole].","NULL","NULL","H:H:F","NULL","NULL","NULL","NULL","NULL"
"q_2005","Would hate to be considered odd or strange.","NULL","NULL","H:O:U","NULL","NULL","NULL","NULL","NULL"
"q_2008","Would like to have more power than other people.","NULL","NULL","H:H:M","NULL","NULL","NULL","NULL","NULL"
"q_2011","Would love to explore strange places.","NULL","NULL","H:O:I","NULL","NULL","NULL","NULL","NULL"
"q_2016","Would never cheat on my taxes.","NULL","NULL","H:H:F","NULL","NULL","A2:MO","NULL","NULL"
"q_2017","Would never go hang gliding or bungee jumping.","NULL","NULL","NULL","NULL","MPQ:HA","E5:ES","NULL","NULL"
"q_2018","[Never go down rapids in a canoe].","NULL","NULL","H:E:F","NULL","NULL","NULL","NULL","NULL"
"q_2020","Would never make a high-risk investment.","NULL","NULL","NULL","NULL","MPQ:HA","NULL","NULL","NULL"
"q_2021","Would never take things that aren't mine.","NULL","NULL","H:H:F","QB6:H","MPQ:AG","NULL","NULL","NULL"
"q_2024","[Would not enjoy a highly social job].","NULL","NULL","H:X:S","NULL","NULL","NULL","NULL","NULL"
"q_2025","Would not enjoy being a famous celebrity.","NULL","NULL","H:H:GA","NULL","NULL","NULL","NULL","NULL"
"q_2029","[Not regret taking advantage of someone impulsively].","NULL","NULL","H:H:F","NULL","NULL","NULL","NULL","NULL"
"q_2036","Yell at people.","NULL","NULL","NULL","NULL","NULL","A4:CO","NULL","NULL"
"q_2160","Am not a very enthusiastic person.","NULL","BFAS:E:E","NULL","NULL","NULL","NULL","NULL","NULL"
"q_2161","Do not have an assertive personality.","NULL","BFAS:E:A","NULL","NULL","NULL","NULL","NULL","NULL"
"q_2737","Am a goal-oriented person.","NULL","NULL","NULL","QB6:C","NULL","NULL","NULL","NULL"
"q_2745","Am able to come up with new and different ideas.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:P"
"q_2754","Am an original thinker.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:P"
"q_2756","Am considered to be a wise person.","NULL","NULL","NULL","QB6:O","NULL","NULL","NULL","NULL"
"q_2765","Am happy with my life.","NULL","NULL","NULL","QB6:ES","NULL","NULL","NULL","NULL"
"q_2775","Am not all that curious about the world.","NULL","NULL","NULL","QB6:O","NULL","NULL","NULL","NULL"
"q_2786","Am often worried by things that I said or did.","NULL","NULL","NULL","QB6:ES","NULL","NULL","NULL","NULL"
"q_2821","Behave in unusual and strange ways.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_2853","Cannot imagine lying or cheating.","NULL","NULL","NULL","QB6:H","NULL","NULL","NULL","NULL"
"q_2891","Don't pride myself on being original.","NULL","NULL","NULL","QB6:O","NULL","NULL","NULL","NULL"
"q_2900","Don't think it's important to socialize with others.","NULL","NULL","NULL","QB6:X","NULL","NULL","NULL","NULL"
"q_2951","Have a colorful and dramatic way of talking about things. ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:P"
"q_3023","Look forward to the opportunity to learn and grow. ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:P"
"q_3090","When with a group, have difficulties selecting a good topic to talk about.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:P"
"q_3691","Am selfdestructive.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_4222","Have many different hobbies.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4223","Stop to think things over before doing anything.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4224","My mood often goes up and down.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4225","Often take notice of what people think.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4226","Am a talkative person.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4227","Being in debt is worrisome to me.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4228","Sometimes feel ""just miserable"" for no reason.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4229","Give money to charities.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4230","Am rather lively.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4231","It would upset me a lot to see a child or animal suffer.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4232","Often worry about things I should not have done or said.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4233","Dislike people who don't know how to behave themselves.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4234","Can usually let myself go and enjoy a lively party.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4235","Am an irritable person.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4236","People should always respect the law.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4237","Enjoy meeting new people.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4238","Good manners are very important.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4239","My feelings are easily hurt.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4240","Tend to keep in the background on social occasions.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4241","Would take drugs which may have strange or dangerous effects.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4242","Often feel ""fed-up.""","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4243","Like going out a lot.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4244","Prefer to go my own way rather than act by the rules.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4245","Enjoy hurting people I love.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4246","Am often troubled by feelings of guilt.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4247","Prefer reading to meeting people.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4248","Have enemies who want to harm me.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4249","Would call myself a nervous person.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4250","Have many friends.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4251","Enjoy practical jokes that can sometimes really hurt people.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4252","Am a worrier.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4253","Would call myself happy-go-lucky.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4254","Good manners and cleanliness matter to me.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4255","Have often gone against my parents' wishes.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4256","Worry about awful things that might happen.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4257","Usually take the initiative in making new friends.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4258","Would call myself tense or ""highly-strung.""","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4259","Am mostly quiet when with other people.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4260","Think marriage is old-fashioned and should be done away with.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4261","Am more easy-going about right and wrong than most people.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4262","Can easily get some life into a dull party.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4263","Worry about my health.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4264","Enjoy cooperating with others.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4265","Like telling jokes and funny stories to my friends.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4266","Most things taste the same to me.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4267","Like mixing with people.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4268","Worry if I know there are mistakes in my work.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4269","Suffer from sleeplessness.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4270","People have said that I sometimes act rashly.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4271","Nearly always have a ""ready answer"" when talking to people.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4272","Like to arrive at appointments in plenty of time.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4273","Often feel listless and tired for no reason.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4274","Like doing things in which I have to act quickly.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4275","My mother is (or was) a good woman.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4276","Often make decisions on the spur of the moment.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4277","Often feel life is very dull.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4278","Often take on more activities than I have time for.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4279","There are several people who keep trying to avoid me.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4280","Worry a lot about my looks.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4281","People spend too much time safeguarding their future with savings and insurance.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4282","Have once wished that I were dead.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4283","Can get a party going.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4284","Try not to be rude to people.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4285","Worry too long after an embarrassing experience.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4286","Generally ""look before I leap.""","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4287","Suffer from ""nerves.""","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4288","Often feel lonely.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4289","Trust people to mainly tell the truth.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4290","Am easily hurt when people find fault with me or the work I do.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4291","It is better to follow society's rules than to go my own way.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4292","Like having plenty of bustle and excitement around.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4293","Would like for other people to be afraid of me.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4294","Am sometimes bubbling over with energy and sometimes very sluggish.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4295","Other people think of me as being very lively.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:E","NULL"
"q_4296","Tell a lot of lies.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4297","Believe one has special duties to one's family.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4298","Am touchy about some things.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
"q_4299","Would feel very sorry for an animal caught in a trap.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:P","NULL"
"q_4300","When my temper rises, I find it difficult to control.","NULL","NULL","NULL","NULL","NULL","NULL","EPQ:N","NULL"
